"('league', '')","('season', '')","('team', '')","('player', '')","('nation', '')","('pos', '')","('age', '')","('born', '')",minutes_90s,sca_total,sca_per_90,sca_types_pass_live,sca_types_pass_dead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_total,gca_per_90,gca_types_pass_live,gca_types_pass_dead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def
FRA-Ligue 1,2324,Reims,Christ Mbondi,FRA,FW,19-220,2004,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Reims,Emmanuel Agbadou,CIV,DF,26-345,1997,28.8,47,1.63,43,0,0,4,0,0,1,0.03,1,0,0,0,0,0
FRA-Ligue 1,2324,Reims,Ibrahim Diakité,GUI,DF,20-209,2003,1.2,4,3.27,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Reims,Joseph Okumu,KEN,DF,27-001,1997,19.4,14,0.72,12,0,0,2,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Reims,Josh Wilson-Esbrand,ENG,"DF,MF",21-153,2002,5.1,9,1.76,9,0,0,0,0,0,2,0.39,2,0,0,0,0,0
FRA-Ligue 1,2324,Reims,Junya Ito,JPN,"FW,MF",31-079,1993,30.2,135,4.48,96,23,8,7,1,0,10,0.33,9,0,0,1,0,0
FRA-Ligue 1,2324,Reims,Keito Nakamura,JPN,"FW,MF",23-304,2000,15.3,37,2.41,30,0,3,4,0,0,3,0.2,3,0,0,0,0,0
FRA-Ligue 1,2324,Reims,Mamadou Diakhon,FRA,"FW,MF",18-248,2005,2.3,4,1.72,1,0,1,0,2,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Reims,Marshall Munetsi,ZIM,MF,27-340,1996,24.1,29,1.2,22,0,1,4,2,0,6,0.25,5,0,0,0,1,0
FRA-Ligue 1,2324,Reims,Maxime Busi,BEL,"FW,DF",24-226,1999,1.8,6,3.33,4,0,1,0,0,1,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Reims,Mohammed Daramy,DEN,"FW,MF",22-141,2002,18.3,59,3.22,43,0,9,3,4,0,8,0.44,7,0,1,0,0,0
FRA-Ligue 1,2324,Reims,Oumar Diakité,CIV,FW,20-159,2003,17.6,41,2.33,26,0,9,1,3,2,5,0.28,3,0,1,0,0,1
FRA-Ligue 1,2324,Reims,Reda Khadra,GER,"FW,MF",22-328,2001,15.2,46,3.03,33,1,6,5,1,0,7,0.46,4,0,3,0,0,0
FRA-Ligue 1,2324,Reims,Sergio Akieme,ESP,DF,26-163,1997,9.1,19,2.09,12,1,3,2,0,1,1,0.11,0,0,0,1,0,0
FRA-Ligue 1,2324,Reims,Teddy Teuma,MLT,MF,30-240,1993,23.5,92,3.92,60,22,4,4,1,1,10,0.43,5,3,1,0,0,1
FRA-Ligue 1,2324,Reims,Therence Koudou,FRA,DF,19-166,2004,3.5,14,4.01,11,1,1,0,1,0,1,0.29,1,0,0,0,0,0
FRA-Ligue 1,2324,Reims,Thibault De Smet,BEL,DF,25-357,1998,20.3,23,1.13,18,1,2,1,1,0,1,0.05,0,0,0,0,1,0
FRA-Ligue 1,2324,Reims,Thomas Foket,BEL,DF,29-245,1994,20.4,30,1.48,27,2,0,1,0,0,6,0.3,6,0,0,0,0,0
FRA-Ligue 1,2324,Reims,Valentin Atangana Edoa,FRA,MF,18-276,2005,6.2,6,0.97,2,0,0,2,1,1,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Reims,Yaya Kader Fofana,MLI,"MF,DF",19-350,2004,0.4,2,5.63,0,0,1,1,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Reims,Yehvann Diouf,FRA,GK,24-193,1999,34.0,4,0.12,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Reims,Yunis Abdelhamid,MAR,DF,36-242,1987,30.9,24,0.78,19,1,0,3,1,0,1,0.03,0,0,0,1,0,0
FRA-Ligue 1,2324,Rennes,Adrien Truffert,FRA,DF,22-189,2001,23.8,38,1.59,27,0,4,2,5,0,3,0.13,1,0,0,1,1,0
FRA-Ligue 1,2324,Rennes,Alidu Seidu,GHA,DF,23-358,2000,6.6,8,1.21,7,0,0,0,0,1,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Rennes,Amine Gouiri,ALG,"FW,MF",24-101,2000,23.0,85,3.7,53,3,13,11,5,0,10,0.44,6,0,2,2,0,0
FRA-Ligue 1,2324,Rennes,Arnaud Kalimuendo,FRA,FW,22-128,2002,23.8,70,2.95,49,1,5,6,9,0,7,0.29,3,0,0,1,3,0
FRA-Ligue 1,2324,Rennes,Arthur Theate,BEL,DF,24-002,2000,25.5,21,0.82,16,1,1,2,1,0,3,0.12,1,0,0,2,0,0
FRA-Ligue 1,2324,Rennes,Azor Matusiwa,NED,MF,26-029,1998,8.8,17,1.93,17,0,0,0,0,0,3,0.34,3,0,0,0,0,0
FRA-Ligue 1,2324,Rennes,Baptiste Santamaria,FRA,MF,29-079,1995,21.4,48,2.24,39,1,1,3,1,3,3,0.14,2,0,0,1,0,0
